"","date","probe_name","probe_type","value"
"271","07/01/2021 05:30:00","B2T1","Temp",18.1
"272","07/01/2021 05:30:00","B2pH1","pH",7.97
"273","07/01/2021 05:40:00","B2_T2","Temp",17.2
"274","07/01/2021 05:40:00","B2_pH2","pH",4.55
"275","07/01/2021 05:40:00","B1_pH2","pH",8.11
"276","07/01/2021 05:40:00","B1_T2","Temp",16
"277","07/01/2021 05:40:00","B1_T1","Temp",16
"278","07/01/2021 05:40:00","B1_pH1","pH",8.11
"279","07/01/2021 05:40:00","B2T1","Temp",18
"280","07/01/2021 05:40:00","B2pH1","pH",7.97
"281","07/01/2021 05:50:00","B2_T2","Temp",17.6
"282","07/01/2021 05:50:00","B2_pH2","pH",4.55
"283","07/01/2021 05:50:00","B1_pH2","pH",8.11
"284","07/01/2021 05:50:00","B1_T2","Temp",16.1
"285","07/01/2021 05:50:00","B1_T1","Temp",16.1
"286","07/01/2021 05:50:00","B1_pH1","pH",8.11
"287","07/01/2021 05:50:00","B2T1","Temp",18.1
"288","07/01/2021 05:50:00","B2pH1","pH",7.97
"289","07/01/2021 06:00:00","B2_T2","Temp",17.2
"290","07/01/2021 06:00:00","B2_pH2","pH",4.55
"291","07/01/2021 06:00:00","B1_pH2","pH",8.11
"292","07/01/2021 06:00:00","B1_T2","Temp",16.2
"293","07/01/2021 06:00:00","B1_T1","Temp",16.2
"294","07/01/2021 06:00:00","B1_pH1","pH",8.11
"295","07/01/2021 06:00:00","B2T1","Temp",18.1
"296","07/01/2021 06:00:00","B2pH1","pH",7.97
"297","07/01/2021 06:10:00","B2_T2","Temp",17.3
"298","07/01/2021 06:10:00","B2_pH2","pH",4.55
"299","07/01/2021 06:10:00","B1_pH2","pH",8.11
"300","07/01/2021 06:10:00","B1_T2","Temp",16.2
"301","07/01/2021 06:10:00","B1_T1","Temp",16.3
"302","07/01/2021 06:10:00","B1_pH1","pH",8.11
"303","07/01/2021 06:10:00","B2T1","Temp",18.2
"304","07/01/2021 06:10:00","B2pH1","pH",7.97
"305","07/01/2021 06:20:00","B2_T2","Temp",17.3
"306","07/01/2021 06:20:00","B2_pH2","pH",4.55
"307","07/01/2021 06:20:00","B1_pH2","pH",8.11
"308","07/01/2021 06:20:00","B1_T2","Temp",16.2
"309","07/01/2021 06:20:00","B1_T1","Temp",16.3
"310","07/01/2021 06:20:00","B1_pH1","pH",8.11
"311","07/01/2021 06:20:00","B2T1","Temp",18.2
"312","07/01/2021 06:20:00","B2pH1","pH",7.97
"313","07/01/2021 06:30:00","B2_T2","Temp",17.7
"314","07/01/2021 06:30:00","B2_pH2","pH",4.55
"315","07/01/2021 06:30:00","B1_pH2","pH",8.11
"316","07/01/2021 06:30:00","B1_T2","Temp",16.2
"317","07/01/2021 06:30:00","B1_T1","Temp",16.2
"318","07/01/2021 06:30:00","B1_pH1","pH",8.11
"319","07/01/2021 06:30:00","B2T1","Temp",18.1
"320","07/01/2021 06:30:00","B2pH1","pH",7.97
"321","07/01/2021 06:40:00","B2_T2","Temp",17.7
"322","07/01/2021 06:40:00","B2_pH2","pH",4.55
"323","07/01/2021 06:40:00","B1_pH2","pH",8.11
"324","07/01/2021 06:40:00","B1_T2","Temp",16
"325","07/01/2021 06:40:00","B1_T1","Temp",16.1
"326","07/01/2021 06:40:00","B1_pH1","pH",8.11
"327","07/01/2021 06:40:00","B2T1","Temp",18
"328","07/01/2021 06:40:00","B2pH1","pH",7.97
"329","07/01/2021 06:50:00","B2_T2","Temp",18.3
"330","07/01/2021 06:50:00","B2_pH2","pH",4.55
"331","07/01/2021 06:50:00","B1_pH2","pH",8.11
"332","07/01/2021 06:50:00","B1_T2","Temp",16
"333","07/01/2021 06:50:00","B1_T1","Temp",16
"334","07/01/2021 06:50:00","B1_pH1","pH",8.11
"335","07/01/2021 06:50:00","B2T1","Temp",18
"336","07/01/2021 06:50:00","B2pH1","pH",7.97
"337","07/01/2021 07:00:00","B2_T2","Temp",18.3
"338","07/01/2021 07:00:00","B2_pH2","pH",4.55
"339","07/01/2021 07:00:00","B1_pH2","pH",8.12
"340","07/01/2021 07:00:00","B1_T2","Temp",16.1
"341","07/01/2021 07:00:00","B1_T1","Temp",16.1
"342","07/01/2021 07:00:00","B1_pH1","pH",8.11
"343","07/01/2021 07:00:00","B2T1","Temp",18
"344","07/01/2021 07:00:00","B2pH1","pH",7.97
"345","07/01/2021 07:10:00","B2_T2","Temp",18.6
"346","07/01/2021 07:10:00","B2_pH2","pH",4.55
"347","07/01/2021 07:10:00","B1_pH2","pH",8.12
"348","07/01/2021 07:10:00","B1_T2","Temp",16.1
"349","07/01/2021 07:10:00","B1_T1","Temp",16.1
"350","07/01/2021 07:10:00","B1_pH1","pH",8.11
"351","07/01/2021 07:10:00","B2T1","Temp",18.1
"352","07/01/2021 07:10:00","B2pH1","pH",7.97
"353","07/01/2021 07:20:00","B2_T2","Temp",18.6
"354","07/01/2021 07:20:00","B2_pH2","pH",4.55
"355","07/01/2021 07:20:00","B1_pH2","pH",8.12
"356","07/01/2021 07:20:00","B1_T2","Temp",16.1
